0          References for Cross Section of OHt       Total   
(Theoretical)                                                                   
Lambda = 939.30-1907.00 A                                                       
   Vandishoeck, E.                                                              
   Photodissociation and excitation of interstellar molecules.                  
                                                                                
0          References for Cross Section of OHt       O/H     
                                                                                
0          References for Cross Section of OHt       O1S/H   
                                                                                
0          References for Cross Section of OHt       OH+     
                                                                                
0 Branching ratio for OHt      Total        4 branches
 Lambda  Total   O/H      O1S/H    OH+      O1D/H   
    0.6 1.50E-23 0.00E+00 0.00E+00 1.50E-23 0.00E+00
    1.2 1.45E-22 0.00E+00 0.00E+00 1.45E-22 0.00E+00
    2.4 1.15E-21 0.00E+00 0.00E+00 1.15E-21 0.00E+00
    6.2 1.78E-20 0.00E+00 0.00E+00 1.78E-20 0.00E+00
   12.6 1.29E-19 0.00E+00 0.00E+00 1.29E-19 0.00E+00
   24.6 3.53E-20 0.00E+00 0.00E+00 3.53E-20 0.00E+00
   62.1 3.52E-19 0.00E+00 0.00E+00 3.52E-19 0.00E+00
  121.7 1.62E-18 0.00E+00 0.00E+00 1.62E-18 0.00E+00
  248.6 5.64E-18 0.00E+00 0.00E+00 5.64E-18 0.00E+00
  625.8 1.59E-17 0.00E+00 0.00E+00 1.59E-17 0.00E+00
  939.3 7.00E-20 0.00E+00 0.00E+00 0.00E+00 7.00E-20
  942.9 1.00E-19 0.00E+00 0.00E+00 0.00E+00 1.00E-19
  943.6 3.00E-19 0.00E+00 0.00E+00 0.00E+00 3.00E-19
  944.3 1.00E-99 0.00E+00 0.00E+00 0.00E+00 1.00E-99
  945.0 1.00E-19 0.00E+00 0.00E+00 0.00E+00 1.00E-19
  952.3 3.00E-19 0.00E+00 0.00E+00 0.00E+00 3.00E-19
  953.0 5.00E-19 0.00E+00 0.00E+00 0.00E+00 5.00E-19
  953.7 1.00E-99 0.00E+00 0.00E+00 0.00E+00 1.00E-99
  954.5 3.00E-19 0.00E+00 0.00E+00 0.00E+00 3.00E-19
  963.4 6.10E-19 0.00E+00 0.00E+00 0.00E+00 6.10E-19
  964.1 9.60E-19 0.00E+00 0.00E+00 0.00E+00 9.60E-19
  964.9 1.00E-20 0.00E+00 0.00E+00 0.00E+00 1.00E-20
  965.6 6.10E-19 0.00E+00 0.00E+00 0.00E+00 6.10E-19
  968.6 8.20E-19 0.00E+00 0.00E+00 0.00E+00 8.20E-19
  973.2 1.01E-18 0.00E+00 0.00E+00 0.00E+00 1.01E-18
  974.0 1.81E-18 0.00E+00 0.00E+00 0.00E+00 1.81E-18
  974.7 1.00E-20 0.00E+00 0.00E+00 0.00E+00 1.00E-20
  975.5 1.01E-18 0.00E+00 0.00E+00 0.00E+00 1.01E-18
  980.1 1.51E-18 0.00E+00 0.00E+00 0.00E+00 1.51E-18
  980.9 2.71E-18 0.00E+00 0.00E+00 0.00E+00 2.71E-18
  981.7 1.00E-20 0.00E+00 0.00E+00 0.00E+00 1.00E-20
  982.5 1.51E-18 0.00E+00 0.00E+00 0.00E+00 1.51E-18
  987.9 2.42E-18 0.00E+00 0.00E+00 0.00E+00 2.42E-18
  988.7 3.92E-18 0.00E+00 0.00E+00 0.00E+00 3.92E-18
  989.5 2.00E-20 0.00E+00 0.00E+00 0.00E+00 2.00E-20
  990.3 2.42E-18 0.00E+00 2.42E-21 0.00E+00 2.42E-18
  991.9 2.63E-18 0.00E+00 2.63E-21 0.00E+00 2.63E-18
  995.9 3.44E-18 0.00E+00 3.44E-21 0.00E+00 3.44E-18
  996.7 5.54E-18 0.00E+00 5.54E-21 0.00E+00 5.53E-18
  997.5 4.00E-20 0.00E+00 4.00E-20 0.00E+00 0.00E+00
  998.3 3.44E-18 0.00E+00 3.03E-20 0.00E+00 3.41E-18
 1003.0 4.25E-18 0.00E+00 4.25E-20 0.00E+00 4.21E-18
 1004.0 8.26E-18 0.00E+00 4.13E-20 0.00E+00 8.22E-18
 1005.0 6.00E-20 0.00E+00 1.50E-20 0.00E+00 4.50E-20
 1006.0 4.26E-18 0.00E+00 5.96E-20 0.00E+00 4.20E-18
 1008.0 4.49E-18 0.00E+00 7.18E-20 0.00E+00 4.42E-18
 1012.0 5.09E-18 0.00E+00 8.14E-20 0.00E+00 5.01E-18
 1013.0 2.00E-17 0.00E+00 9.00E-20 0.00E+00 1.99E-17
 1014.0 1.00E-19 0.00E+00 1.00E-19 0.00E+00 0.00E+00
 1015.0 5.00E-18 0.00E+00 1.00E-19 0.00E+00 4.90E-18
 1020.0 6.03E-18 0.00E+00 1.39E-19 0.00E+00 5.89E-18
 1021.0 2.00E-17 0.00E+00 1.20E-19 0.00E+00 1.99E-17
 1022.0 1.40E-19 0.00E+00 1.40E-19 0.00E+00 0.00E+00
 1023.0 5.95E-18 0.00E+00 1.43E-19 0.00E+00 5.81E-18
 1025.0 6.41E-18 0.00E+00 1.60E-19 0.00E+00 6.25E-18
 1029.0 7.01E-18 0.00E+00 2.03E-19 0.00E+00 6.81E-18
 1030.0 2.00E-17 0.00E+00 2.20E-19 0.00E+00 1.98E-17
 1031.0 2.30E-19 0.00E+00 2.30E-19 0.00E+00 0.00E+00
 1032.0 6.64E-18 0.00E+00 2.26E-19 0.00E+00 6.41E-18
 1038.0 7.78E-18 0.00E+00 2.72E-19 0.00E+00 7.51E-18
 1039.0 2.00E-17 0.00E+00 2.80E-19 0.00E+00 1.97E-17
 1040.0 3.00E-19 0.00E+00 2.97E-19 0.00E+00 3.00E-21
 1041.0 7.31E-18 0.00E+00 3.22E-19 0.00E+00 6.99E-18
 1042.0 7.83E-18 0.00E+00 3.29E-19 0.00E+00 7.50E-18
 1046.0 8.07E-18 0.00E+00 3.47E-19 0.00E+00 7.72E-18
 1047.0 2.00E-17 0.00E+00 3.80E-19 0.00E+00 1.96E-17
 1048.0 4.00E-19 0.00E+00 3.80E-19 0.00E+00 2.00E-20
 1049.0 7.52E-18 0.00E+00 3.91E-19 0.00E+00 7.13E-18
 1051.0 8.20E-18 0.00E+00 4.10E-19 0.00E+00 7.79E-18
 1055.0 8.23E-18 0.00E+00 4.53E-19 0.00E+00 7.78E-18
 1056.0 2.00E-17 0.00E+00 5.30E-19 0.00E+00 1.95E-17
 1057.0 5.50E-19 0.00E+00 5.30E-19 0.00E+00 1.98E-20
 1058.0 7.66E-18 0.00E+00 5.52E-19 0.00E+00 7.11E-18
 1060.0 8.29E-18 0.00E+00 5.64E-19 0.00E+00 7.73E-18
 1064.0 8.26E-18 0.00E+00 5.70E-19 0.00E+00 7.69E-18
 1065.0 2.00E-17 0.00E+00 5.80E-19 0.00E+00 1.94E-17
 1066.0 6.80E-19 0.00E+00 6.19E-19 0.00E+00 6.12E-20
 1067.0 7.68E-18 0.00E+00 6.30E-19 0.00E+00 7.05E-18
 1072.0 7.78E-18 0.00E+00 6.38E-19 0.00E+00 7.14E-18
 1073.0 7.80E-19 0.00E+00 6.71E-19 0.00E+00 1.09E-19
 1074.0 8.09E-18 0.00E+00 6.59E-19 0.00E+00 7.43E-18
 1075.0 2.00E-17 0.00E+00 6.80E-19 0.00E+00 1.93E-17
 1076.0 8.10E-18 0.00E+00 7.29E-19 0.00E+00 7.37E-18
 1078.0 7.54E-18 0.00E+00 7.54E-19 0.00E+00 6.79E-18
 1082.0 7.17E-18 0.00E+00 7.96E-19 0.00E+00 6.37E-18
 1083.0 8.80E-19 0.00E+00 8.30E-19 0.00E+00 5.02E-20
 1084.0 7.09E-18 0.00E+00 8.51E-19 0.00E+00 6.24E-18
 1085.0 2.00E-17 0.00E+00 8.60E-19 0.00E+00 1.91E-17
 1086.0 7.11E-18 0.00E+00 8.60E-19 0.00E+00 6.25E-18
 1092.0 6.33E-18 0.00E+00 8.61E-19 0.00E+00 5.47E-18
 1093.0 9.40E-18 0.00E+00 8.74E-19 0.00E+00 8.53E-18
 1094.0 6.24E-18 0.00E+00 8.67E-19 0.00E+00 5.37E-18
 1095.0 2.00E-17 0.00E+00 8.70E-19 0.00E+00 1.91E-17
 1096.0 6.25E-18 0.00E+00 8.69E-19 0.00E+00 5.38E-18
 1097.0 6.12E-18 0.00E+00 8.69E-19 0.00E+00 5.25E-18
 1101.0 5.46E-18 0.00E+00 8.68E-19 0.00E+00 4.59E-18
 1102.0 9.70E-19 0.00E+00 8.70E-19 0.00E+00 9.99E-20
 1103.0 5.28E-18 0.00E+00 8.71E-19 0.00E+00 4.41E-18
 1104.0 2.00E-17 0.00E+00 8.70E-19 0.00E+00 1.91E-17
 1105.0 5.30E-18 0.00E+00 8.69E-19 0.00E+00 4.43E-18
 1111.0 4.83E-18 0.00E+00 8.69E-19 0.00E+00 3.96E-18
 1112.0 1.03E-18 0.00E+00 8.70E-19 0.00E+00 1.60E-19
